time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
15.75,-0.017,0.175,-0.042,-0.038,-0.025,0.057,-0.03,0.02
15.8,0,0.157,-0.037,-0.035,-0.008,0.039,-0.02,0.01
15.85,0,0.14,-0.03,-0.03,-0.008,0.022,-0.01,0
15.9,0.017,0.122,-0.021,-0.022,0.009,0.004,0,-0.01
15.95,0.035,0.105,-0.011,-0.013,0.027,-0.013,0.01,-0.02
16,0.035,0.087,0.001,-0.003,0.027,-0.031,0.02,-0.03
16.05,0.052,0.07,0.012,0.007,0.044,-0.048,0.03,-0.03
16.1,0.052,0.07,0.022,0.017,0.044,-0.048,0.03,-0.04
16.15,0.052,0.052,0.03,0.025,0.044,-0.066,0.04,-0.04
16.2,0.052,0.052,0.036,0.03,0.044,-0.066,0.04,-0.04
16.25,0.052,0.052,0.039,0.033,0.044,-0.066,0.04,-0.04
16.3,0.035,0.052,0.038,0.034,0.027,-0.066,0.03,-0.04
16.35,0.035,0.07,0.035,0.031,0.027,-0.048,0.02,-0.03
16.4,0.017,0.087,0.029,0.026,0.009,-0.031,0.01,-0.02
16.45,0,0.105,0.02,0.019,-0.008,-0.013,0,-0.01
16.5,-0.017,0.122,0.009,0.01,-0.025,0.004,-0.01,0
16.55,-0.017,0.14,-0.002,0,-0.025,0.022,-0.02,0.01
16.6,-0.035,0.157,-0.013,-0.01,-0.043,0.039,-0.03,0.02
16.65,-0.035,0.157,-0.024,-0.019,-0.043,0.039,-0.03,0.03
16.7,-0.035,0.175,-0.032,-0.027,-0.043,0.057,-0.04,0.03
16.75,-0.035,0.175,-0.039,-0.033,-0.043,0.057,-0.04,0.04
16.8,-0.035,0.175,-0.043,-0.037,-0.043,0.057,-0.04,0.04
16.85,-0.035,0.175,-0.043,-0.038,-0.043,0.057,-0.04,0.04
16.9,-0.017,0.175,-0.04,-0.036,-0.025,0.057,-0.04,0.03
16.95,0,0.157,-0.035,-0.031,-0.008,0.039,-0.03,0.02
17,0,0.14,-0.027,-0.024,-0.008,0.022,-0.02,0.01
17.05,0.017,0.122,-0.017,-0.016,0.009,0.004,-0.01,0
17.1,0.035,0.105,-0.005,-0.006,0.027,-0.013,0,-0.01
17.15,0.035,0.087,0.006,0.004,0.027,-0.031,0.01,-0.02
17.2,0.052,0.087,0.017,0.013,0.044,-0.031,0.02,-0.03
17.25,0.052,0.07,0.026,0.022,0.044,-0.048,0.03,-0.03
17.3,0.052,0.052,0.033,0.028,0.044,-0.066,0.03,-0.04
17.35,0.052,0.052,0.038,0.032,0.044,-0.066,0.04,-0.04
17.4,0.052,0.052,0.039,0.034,0.044,-0.066,0.04,-0.04
17.45,0.035,0.052,0.037,0.032,0.027,-0.066,0.04,-0.04
17.5,0.035,0.07,0.033,0.028,0.027,-0.048,0.03,-0.04
17.55,0.017,0.087,0.025,0.021,0.009,-0.031,0.02,-0.03
17.6,0,0.105,0.015,0.013,-0.008,-0.013,0.01,-0.02
17.65,-0.017,0.122,0.004,0.004,-0.025,0.004,0,-0.01
17.7,-0.017,0.14,-0.007,-0.006,-0.025,0.022,-0.01,0
