time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
12.25,0.209,-0.175,-0.04,0.025,0.1313,-0.1191,-0.04,0.02
12.3,0.244,-0.192,-0.009,-0.009,0.1663,-0.1361,-0.01,-0.01
12.35,0.244,-0.209,0.023,-0.042,0.1663,-0.1531,0.02,-0.04
12.4,0.244,-0.209,0.053,-0.073,0.1663,-0.1531,0.06,-0.07
12.45,0.227,-0.192,0.08,-0.098,0.1493,-0.1361,0.09,-0.09
12.5,0.192,-0.175,0.101,-0.117,0.1143,-0.1191,0.11,-0.11
12.55,0.157,-0.14,0.115,-0.129,0.0793,-0.0841,0.12,-0.12
12.6,0.122,-0.105,0.121,-0.131,0.0443,-0.0491,0.13,-0.12
12.65,0.07,-0.07,0.119,-0.125,-0.0077,-0.0141,0.13,-0.12
12.7,0.035,-0.035,0.108,-0.11,-0.0427,0.0209,0.11,-0.11
12.75,0,0,0.091,-0.088,-0.0777,0.0559,0.09,-0.09
12.8,-0.052,0.035,0.066,-0.06,-0.1297,0.0909,0.07,-0.06
12.85,-0.07,0.07,0.037,-0.028,-0.1477,0.1259,0.04,-0.03
12.9,-0.087,0.087,0.005,0.005,-0.1647,0.1429,0,0
12.95,-0.087,0.087,-0.027,0.038,-0.1647,0.1429,-0.03,0.03
13,-0.087,0.087,-0.058,0.068,-0.1647,0.1429,-0.06,0.06
13.05,-0.052,0.07,-0.085,0.093,-0.1297,0.1259,-0.09,0.08
13.1,-0.035,0.052,-0.106,0.112,-0.1127,0.1079,-0.11,0.1
13.15,0,0.017,-0.12,0.123,-0.0777,0.0729,-0.13,0.11
13.2,0.052,-0.017,-0.127,0.125,-0.0257,0.0389,-0.13,0.12
13.25,0.105,-0.052,-0.125,0.119,0.0273,0.0039,-0.13,0.11
13.3,0.14,-0.087,-0.114,0.104,0.0623,-0.0311,-0.12,0.1
13.35,0.175,-0.14,-0.096,0.082,0.0973,-0.0841,-0.1,0.08
13.4,0.209,-0.157,-0.072,0.055,0.1313,-0.1011,-0.07,0.06
13.45,0.227,-0.192,-0.042,0.023,0.1493,-0.1361,-0.04,0.03
13.5,0.244,-0.192,-0.01,-0.01,0.1663,-0.1361,-0.01,0
13.55,0.244,-0.209,0.023,-0.042,0.1663,-0.1531,0.03,-0.03
13.6,0.227,-0.192,0.054,-0.072,0.1493,-0.1361,0.06,-0.06
13.65,0.209,-0.175,0.081,-0.097,0.1313,-0.1191,0.09,-0.09
13.7,0.175,-0.157,0.103,-0.115,0.0973,-0.1011,0.11,-0.11
13.75,0.122,-0.122,0.118,-0.126,0.0443,-0.0661,0.13,-0.12
